9 	 1 
10 	 1 
11 	 434 
12 	 344 
9 	 1 
10 	 138 
11 	 468 
12 	 329 
13 	 451 
14 	 344 
15 	 316 
16 	 245 
13 	 473 
14 	 623 
15 	 528 
16 	 314 
9 	 1 
10 	 147 
11 	 474 
12 	 737 
13 	 722 
14 	 606 
15 	 495 
16 	 305 
1 	 1 
2 	 1 
3 	 1 
4 	 1 
5 	 1 
6 	 1 
7 	 1 
8 	 1 
9 	 1 
10 	 147 
11 	 474 
12 	 737 
13 	 722 
14 	 606 
15 	 495 
16 	 305 
17 	 375 
18 	 282 
19 	 419 
20 	 322 
17 	 415 
18 	 504 
19 	 566 
20 	 382 
21 	 404 
22 	 301 
23 	 451 
24 	 367 
21 	 447 
22 	 533 
23 	 613 
24 	 424 
17 	 450 
18 	 527 
19 	 602 
20 	 585 
21 	 562 
22 	 545 
23 	 596 
24 	 385 
25 	 362 
26 	 286 
27 	 355 
28 	 264 
25 	 409 
26 	 512 
27 	 515 
28 	 322 
29 	 353 
30 	 253 
31 	 400 
32 	 292 
29 	 369 
30 	 476 
31 	 575 
32 	 347 
25 	 429 
26 	 526 
27 	 534 
28 	 563 
29 	 572 
30 	 538 
31 	 589 
32 	 352 
17 	 500 
18 	 540 
19 	 609 
20 	 589 
21 	 562 
22 	 554 
23 	 615 
24 	 621 
25 	 598 
26 	 559 
27 	 536 
28 	 558 
29 	 568 
30 	 535 
31 	 598 
32 	 418 
33 	 376 
34 	 264 
35 	 368 
36 	 262 
33 	 407 
34 	 541 
35 	 528 
36 	 291 
37 	 312 
38 	 219 
39 	 297 
40 	 215 
37 	 329 
38 	 410 
39 	 431 
40 	 254 
33 	 416 
34 	 556 
35 	 551 
36 	 500 
37 	 471 
38 	 460 
39 	 449 
40 	 265 
41 	 283 
42 	 206 
43 	 301 
44 	 207 
41 	 310 
42 	 386 
43 	 396 
44 	 242 
45 	 274 
46 	 195 
47 	 268 
48 	 202 
45 	 303 
46 	 369 
47 	 378 
48 	 235 
41 	 318 
42 	 397 
43 	 418 
44 	 425 
45 	 435 
46 	 410 
47 	 405 
48 	 248 
33 	 426 
34 	 564 
35 	 559 
36 	 505 
37 	 479 
38 	 465 
39 	 471 
40 	 451 
41 	 441 
42 	 445 
43 	 438 
44 	 432 
45 	 435 
46 	 412 
47 	 404 
48 	 254 
49 	 247 
50 	 175 
51 	 248 
52 	 185 
49 	 278 
50 	 342 
51 	 330 
52 	 207 
53 	 274 
54 	 173 
55 	 282 
56 	 193 
53 	 298 
54 	 331 
55 	 357 
56 	 220 
49 	 284 
50 	 354 
51 	 359 
52 	 386 
53 	 414 
54 	 369 
55 	 379 
56 	 249 
57 	 288 
58 	 197 
59 	 305 
60 	 212 
57 	 329 
58 	 390 
59 	 402 
60 	 258 
61 	 304 
62 	 191 
63 	 288 
64 	 213 
61 	 330 
62 	 337 
63 	 376 
64 	 242 
57 	 342 
58 	 410 
59 	 435 
60 	 484 
61 	 458 
62 	 376 
63 	 397 
64 	 267 
49 	 302 
50 	 361 
51 	 365 
52 	 388 
53 	 424 
54 	 389 
55 	 407 
56 	 415 
57 	 444 
58 	 445 
59 	 454 
60 	 496 
61 	 464 
62 	 378 
63 	 406 
64 	 305 
65 	 249 
66 	 193 
67 	 254 
68 	 200 
65 	 287 
66 	 326 
67 	 327 
68 	 240 
69 	 205 
70 	 167 
71 	 226 
72 	 168 
69 	 251 
70 	 289 
71 	 298 
72 	 206 
65 	 314 
66 	 350 
67 	 353 
68 	 387 
69 	 351 
70 	 330 
71 	 328 
72 	 245 
73 	 209 
74 	 149 
75 	 211 
76 	 165 
73 	 248 
74 	 283 
75 	 298 
76 	 197 
77 	 206 
78 	 150 
79 	 200 
80 	 153 
77 	 232 
78 	 267 
79 	 301 
80 	 189 
73 	 255 
74 	 300 
75 	 323 
76 	 365 
77 	 358 
78 	 312 
79 	 325 
80 	 206 
65 	 368 
66 	 368 
67 	 363 
68 	 398 
69 	 362 
70 	 347 
71 	 348 
72 	 365 
73 	 368 
74 	 341 
75 	 350 
76 	 382 
77 	 366 
78 	 320 
79 	 326 
80 	 213 
81 	 188 
82 	 161 
83 	 193 
84 	 142 
81 	 210 
82 	 255 
83 	 289 
84 	 175 
85 	 190 
86 	 159 
87 	 183 
88 	 140 
85 	 214 
86 	 276 
87 	 272 
88 	 177 
81 	 225 
82 	 273 
83 	 314 
84 	 312 
85 	 308 
86 	 317 
87 	 294 
88 	 194 
89 	 207 
90 	 144 
91 	 189 
92 	 139 
89 	 234 
90 	 255 
91 	 273 
92 	 168 
93 	 246 
94 	 207 
95 	 195 
96 	 137 
93 	 274 
94 	 336 
95 	 287 
96 	 169 
89 	 251 
90 	 275 
91 	 310 
92 	 301 
93 	 365 
94 	 366 
95 	 304 
96 	 177 
81 	 241 
82 	 278 
83 	 321 
84 	 325 
85 	 320 
86 	 337 
87 	 324 
88 	 360 
89 	 355 
90 	 308 
91 	 330 
92 	 315 
93 	 373 
94 	 371 
95 	 312 
96 	 184 
97 	 193 
98 	 159 
99 	 174 
100 	 123 
97 	 220 
98 	 253 
99 	 245 
100 	 155 
101 	 206 
102 	 139 
103 	 136 
104 	 122 
101 	 229 
102 	 214 
103 	 202 
104 	 140 
97 	 238 
98 	 263 
99 	 271 
100 	 251 
101 	 303 
102 	 242 
103 	 222 
104 	 164 
105 	 241 
106 	 144 
107 	 191 
108 	 128 
105 	 261 
106 	 260 
107 	 248 
108 	 160 
109 	 240 
110 	 135 
111 	 250 
112 	 175 
109 	 266 
110 	 305 
111 	 346 
112 	 195 
105 	 284 
106 	 276 
107 	 270 
108 	 303 
109 	 342 
110 	 332 
111 	 362 
112 	 216 
97 	 269 
98 	 277 
