1024 	 1048576 	 2422 	 2327 
512 	 53759 	 2195 	 1064 
512 	 39980 	 915 	 1248 
256 	 39980 	 3235 	 1048 
256 	 18615 	 1195 	 1307 
128 	 18615 	 1785 	 1012 
128 	 11787 	 2210 	 1341 
64 	 11787 	 1779 	 461 
64 	 5827 	 1286 	 797 
32 	 5827 	 1473 	 277 
32 	 3407 	 727 	 577 
16 	 3407 	 72 	 194 
16 	 1994 	 115 	 244 
4 	 1994 	 166 	 369 
4 	 1260 	 152 	 172 
2 	 1260 	 55 	 96 
2 	 87 	 22 	 46 
1 	 1198 	 277 	 334 
1 	 781 	 227 	 183 
2 	 840 	 167 	 397 
2 	 602 	 116 	 235 
1 	 602 	 172 	 344 
1 	 381 	 115 	 215 
1 	 356 	 97 	 264 
1 	 255 	 101 	 205 
8 	 2299 	 474 	 534 
8 	 1180 	 273 	 384 
4 	 1180 	 262 	 465 
4 	 651 	 137 	 294 
2 	 651 	 178 	 333 
2 	 399 	 122 	 256 
1 	 399 	 127 	 274 
1 	 281 	 111 	 214 
1 	 433 	 153 	 347 
1 	 317 	 118 	 245 
2 	 737 	 231 	 467 
2 	 438 	 135 	 295 
1 	 438 	 171 	 318 
1 	 306 	 128 	 231 
1 	 508 	 199 	 358 
1 	 359 	 153 	 266 
4 	 1581 	 454 	 643 
4 	 835 	 182 	 332 
2 	 835 	 307 	 495 
2 	 512 	 185 	 272 
1 	 512 	 226 	 322 
1 	 365 	 174 	 242 
1 	 537 	 245 	 328 
1 	 367 	 179 	 243 
2 	 946 	 349 	 491 
2 	 544 	 196 	 295 
1 	 544 	 249 	 335 
1 	 366 	 166 	 237 
1 	 609 	 278 	 365 
1 	 404 	 210 	 282 
16 	 3933 	 1308 	 703 
16 	 2460 	 530 	 488 
8 	 2460 	 816 	 697 
8 	 1482 	 292 	 380 
4 	 1482 	 542 	 583 
4 	 918 	 236 	 317 
2 	 918 	 434 	 488 
2 	 578 	 245 	 273 
1 	 578 	 318 	 337 
1 	 395 	 238 	 238 
1 	 556 	 343 	 356 
1 	 405 	 232 	 256 
2 	 799 	 359 	 434 
2 	 508 	 228 	 254 
1 	 508 	 281 	 313 
1 	 362 	 209 	 221 
1 	 507 	 302 	 289 
1 	 366 	 211 	 218 
4 	 1240 	 572 	 528 
4 	 743 	 314 	 325 
2 	 743 	 405 	 375 
2 	 469 	 234 	 235 
1 	 469 	 295 	 284 
1 	 347 	 213 	 196 
1 	 507 	 332 	 292 
1 	 378 	 216 	 200 
2 	 740 	 431 	 364 
2 	 477 	 236 	 235 
1 	 477 	 331 	 273 
1 	 361 	 230 	 194 
1 	 497 	 360 	 274 
1 	 387 	 229 	 205 
8 	 1916 	 775 	 618 
8 	 1122 	 364 	 416 
4 	 1122 	 624 	 464 
4 	 709 	 251 	 289 
2 	 709 	 456 	 335 
2 	 468 	 238 	 212 
1 	 468 	 343 	 261 
1 	 346 	 233 	 183 
1 	 489 	 373 	 245 
1 	 382 	 244 	 176 
2 	 657 	 426 	 304 
2 	 441 	 268 	 210 
1 	 441 	 329 	 243 
1 	 346 	 250 	 167 
1 	 484 	 345 	 251 
1 	 372 	 258 	 182 
4 	 1164 	 586 	 564 
4 	 738 	 310 	 335 
2 	 738 	 459 	 398 
2 	 483 	 274 	 249 
1 	 483 	 349 	 243 
1 	 376 	 273 	 183 
1 	 530 	 381 	 274 
1 	 393 	 279 	 211 
2 	 719 	 455 	 392 
2 	 490 	 293 	 236 
1 	 490 	 380 	 281 
1 	 394 	 277 	 183 
1 	 515 	 371 	 274 
