9 	 0 	 0 	 1 
10 	 87 	 5 	 1 
11 	 781 	 277 	 335 
12 	 507 	 337 	 184 
9 	 0 	 0 	 1 
10 	 87 	 55 	 97 
11 	 781 	 284 	 363 
12 	 507 	 337 	 202 
13 	 381 	 172 	 345 
14 	 325 	 209 	 216 
15 	 255 	 97 	 265 
16 	 243 	 155 	 206 
13 	 381 	 172 	 385 
14 	 325 	 230 	 477 
15 	 255 	 192 	 465 
16 	 243 	 163 	 288 
9 	 0 	 0 	 1 
10 	 87 	 55 	 143 
11 	 781 	 284 	 444 
12 	 507 	 386 	 577 
13 	 381 	 287 	 599 
14 	 325 	 236 	 524 
15 	 255 	 194 	 447 
16 	 243 	 163 	 275 
1 	 0 	 0 	 1 
2 	 0 	 0 	 1 
3 	 0 	 0 	 1 
4 	 0 	 0 	 1 
5 	 0 	 0 	 1 
6 	 0 	 0 	 1 
7 	 0 	 0 	 1 
8 	 0 	 0 	 1 
9 	 0 	 0 	 1 
10 	 87 	 55 	 143 
11 	 781 	 284 	 444 
12 	 507 	 386 	 577 
13 	 381 	 287 	 599 
14 	 325 	 236 	 524 
15 	 255 	 194 	 447 
16 	 243 	 163 	 275 
17 	 281 	 127 	 275 
18 	 289 	 203 	 215 
19 	 317 	 153 	 348 
20 	 309 	 214 	 246 
17 	 281 	 129 	 311 
18 	 289 	 212 	 428 
19 	 317 	 228 	 498 
20 	 309 	 229 	 319 
21 	 306 	 171 	 319 
22 	 331 	 236 	 232 
23 	 359 	 199 	 359 
24 	 359 	 255 	 267 
21 	 306 	 173 	 364 
22 	 331 	 243 	 454 
23 	 359 	 265 	 526 
24 	 359 	 283 	 340 
17 	 281 	 132 	 337 
18 	 289 	 212 	 455 
19 	 317 	 228 	 540 
20 	 309 	 231 	 521 
21 	 306 	 254 	 523 
22 	 331 	 273 	 514 
23 	 359 	 279 	 555 
24 	 359 	 292 	 347 
25 	 365 	 226 	 323 
26 	 367 	 300 	 243 
27 	 367 	 245 	 329 
28 	 374 	 318 	 244 
25 	 365 	 235 	 381 
26 	 367 	 312 	 474 
27 	 367 	 326 	 474 
28 	 374 	 340 	 293 
29 	 366 	 249 	 336 
30 	 386 	 324 	 238 
31 	 404 	 278 	 366 
32 	 415 	 393 	 283 
29 	 366 	 259 	 364 
30 	 386 	 330 	 469 
31 	 404 	 367 	 540 
32 	 415 	 406 	 327 
25 	 365 	 251 	 407 
26 	 367 	 325 	 498 
27 	 367 	 339 	 507 
28 	 374 	 358 	 543 
29 	 366 	 355 	 548 
30 	 386 	 358 	 519 
31 	 404 	 382 	 565 
32 	 415 	 420 	 339 
17 	 281 	 151 	 373 
18 	 289 	 212 	 469 
19 	 317 	 228 	 549 
20 	 309 	 231 	 524 
21 	 306 	 254 	 527 
22 	 331 	 273 	 520 
23 	 359 	 281 	 579 
24 	 359 	 298 	 571 
25 	 365 	 331 	 545 
26 	 367 	 354 	 536 
27 	 367 	 355 	 514 
28 	 374 	 362 	 536 
29 	 366 	 356 	 547 
30 	 386 	 359 	 520 
31 	 404 	 382 	 578 
32 	 415 	 422 	 405 
33 	 395 	 318 	 338 
34 	 397 	 401 	 239 
35 	 405 	 343 	 357 
36 	 369 	 349 	 257 
33 	 395 	 356 	 377 
34 	 397 	 445 	 511 
35 	 405 	 453 	 504 
36 	 369 	 377 	 294 
37 	 362 	 281 	 314 
38 	 362 	 319 	 222 
39 	 366 	 302 	 290 
40 	 359 	 319 	 219 
37 	 362 	 306 	 340 
38 	 362 	 349 	 419 
39 	 366 	 380 	 436 
40 	 359 	 363 	 265 
33 	 395 	 383 	 398 
34 	 397 	 474 	 533 
35 	 405 	 492 	 545 
36 	 369 	 424 	 508 
37 	 362 	 397 	 490 
38 	 362 	 383 	 458 
39 	 366 	 400 	 451 
40 	 359 	 374 	 275 
41 	 347 	 295 	 285 
42 	 352 	 308 	 197 
43 	 378 	 332 	 293 
44 	 364 	 321 	 201 
41 	 347 	 325 	 320 
42 	 352 	 356 	 383 
43 	 378 	 375 	 399 
44 	 364 	 353 	 233 
45 	 361 	 331 	 274 
46 	 360 	 328 	 195 
47 	 387 	 360 	 275 
48 	 352 	 313 	 206 
45 	 361 	 365 	 316 
46 	 360 	 371 	 373 
47 	 387 	 392 	 391 
48 	 352 	 337 	 235 
41 	 347 	 339 	 331 
42 	 352 	 379 	 399 
43 	 378 	 416 	 422 
44 	 364 	 423 	 422 
45 	 361 	 435 	 438 
46 	 360 	 435 	 413 
47 	 387 	 466 	 417 
48 	 352 	 399 	 253 
33 	 395 	 430 	 419 
34 	 397 	 510 	 550 
35 	 405 	 518 	 556 
36 	 369 	 446 	 522 
37 	 362 	 423 	 495 
38 	 362 	 414 	 468 
39 	 366 	 446 	 480 
40 	 359 	 440 	 460 
41 	 347 	 433 	 451 
42 	 352 	 444 	 436 
43 	 378 	 475 	 444 
44 	 364 	 465 	 428 
45 	 361 	 469 	 435 
46 	 360 	 465 	 414 
47 	 387 	 486 	 420 
48 	 352 	 414 	 261 
49 	 346 	 343 	 262 
50 	 366 	 335 	 184 
51 	 382 	 373 	 246 
52 	 356 	 327 	 177 
49 	 346 	 388 	 294 
50 	 366 	 388 	 349 
51 	 382 	 395 	 325 
52 	 356 	 346 	 204 
53 	 346 	 329 	 244 
54 	 353 	 317 	 168 
55 	 372 	 345 	 252 
56 	 381 	 338 	 183 
53 	 346 	 380 	 280 
54 	 353 	 370 	 317 
55 	 372 	 361 	 333 
56 	 381 	 357 	 213 
49 	 346 	 399 	 304 
50 	 366 	 427 	 370 
51 	 382 	 460 	 357 
52 	 356 	 443 	 381 
53 	 346 	 419 	 386 
54 	 353 	 406 	 352 
55 	 372 	 390 	 355 
56 	 381 	 379 	 238 
57 	 376 	 349 	 244 
58 	 380 	 357 	 184 
59 	 393 	 381 	 275 
60 	 416 	 385 	 212 
57 	 376 	 406 	 292 
58 	 380 	 415 	 375 
59 	 393 	 404 	 375 
60 	 416 	 402 	 250 
61 	 394 	 380 	 282 
62 	 378 	 350 	 184 
63 	 396 	 371 	 275 
64 	 412 	 382 	 207 
61 	 394 	 416 	 324 
62 	 378 	 389 	 333 
63 	 396 	 395 	 374 
64 	 412 	 400 	 238 
57 	 376 	 450 	 305 
58 	 380 	 476 	 401 
59 	 393 	 483 	 410 
60 	 416 	 494 	 470 
61 	 394 	 448 	 449 
62 	 378 	 417 	 376 
63 	 396 	 415 	 401 
64 	 412 	 419 	 264 
49 	 346 	 415 	 320 
50 	 366 	 444 	 379 
51 	 382 	 479 	 367 
52 	 356 	 464 	 383 
53 	 346 	 443 	 396 
54 	 353 	 460 	 376 
55 	 372 	 475 	 386 
56 	 381 	 499 	 389 
57 	 376 	 485 	 398 
58 	 380 	 505 	 428 
59 	 393 	 505 	 430 
60 	 416 	 514 	 487 
61 	 394 	 469 	 452 
62 	 378 	 434 	 381 
63 	 396 	 432 	 406 
64 	 412 	 431 	 308 
65 	 375 	 352 	 237 
66 	 355 	 344 	 193 
67 	 374 	 358 	 246 
68 	 378 	 359 	 202 
65 	 375 	 367 	 285 
66 	 355 	 355 	 332 
67 	 374 	 374 	 340 
68 	 378 	 370 	 238 
69 	 345 	 332 	 188 
70 	 343 	 329 	 178 
71 	 342 	 329 	 218 
72 	 368 	 344 	 172 
69 	 345 	 362 	 245 
70 	 343 	 346 	 302 
71 	 342 	 330 	 306 
72 	 368 	 345 	 211 
65 	 375 	 417 	 325 
66 	 355 	 407 	 362 
67 	 374 	 428 	 363 
68 	 378 	 409 	 404 
69 	 345 	 378 	 344 
70 	 343 	 362 	 349 
71 	 342 	 349 	 333 
72 	 368 	 371 	 263 
73 	 341 	 327 	 206 
74 	 339 	 320 	 163 
75 	 343 	 324 	 218 
76 	 384 	 363 	 167 
73 	 341 	 360 	 251 
74 	 339 	 343 	 311 
75 	 343 	 328 	 317 
76 	 384 	 370 	 210 
77 	 340 	 327 	 203 
78 	 345 	 322 	 171 
79 	 341 	 335 	 213 
80 	 365 	 343 	 165 
77 	 340 	 344 	 237 
78 	 345 	 340 	 301 
79 	 341 	 342 	 335 
80 	 365 	 350 	 207 
73 	 341 	 395 	 254 
74 	 339 	 385 	 333 
75 	 343 	 371 	 353 
76 	 384 	 408 	 389 
77 	 340 	 366 	 385 
78 	 345 	 363 	 352 
79 	 341 	 373 	 360 
80 	 365 	 389 	 224 
65 	 375 	 453 	 385 
66 	 355 	 436 	 375 
67 	 374 	 466 	 383 
68 	 378 	 465 	 410 
69 	 345 	 443 	 364 
70 	 343 	 431 	 369 
71 	 342 	 424 	 357 
72 	 368 	 445 	 389 
73 	 341 	 421 	 386 
74 	 339 	 419 	 377 
75 	 343 	 404 	 369 
76 	 384 	 444 	 423 
77 	 340 	 394 	 392 
78 	 345 	 386 	 359 
79 	 341 	 392 	 360 
80 	 365 	 403 	 234 
81 	 338 	 327 	 193 
82 	 331 	 319 	 170 
83 	 331 	 314 	 193 
84 	 350 	 333 	 154 
81 	 338 	 345 	 220 
82 	 331 	 334 	 276 
83 	 331 	 324 	 308 
84 	 350 	 341 	 189 
85 	 343 	 333 	 183 
86 	 340 	 323 	 178 
87 	 332 	 319 	 182 
88 	 354 	 341 	 134 
85 	 343 	 346 	 216 
86 	 340 	 334 	 300 
87 	 332 	 327 	 286 
88 	 354 	 348 	 176 
81 	 338 	 376 	 241 
82 	 331 	 363 	 293 
83 	 331 	 355 	 337 
84 	 350 	 370 	 342 
85 	 343 	 364 	 325 
86 	 340 	 352 	 344 
87 	 332 	 348 	 315 
88 	 354 	 376 	 192 
89 	 339 	 324 	 203 
90 	 328 	 320 	 151 
91 	 340 	 323 	 189 
92 	 337 	 327 	 140 
89 	 339 	 342 	 232 
90 	 328 	 334 	 271 
91 	 340 	 335 	 284 
92 	 337 	 340 	 172 
93 	 377 	 359 	 242 
94 	 345 	 337 	 202 
95 	 337 	 324 	 193 
96 	 348 	 336 	 149 
93 	 377 	 369 	 274 
94 	 345 	 347 	 337 
95 	 337 	 335 	 306 
96 	 348 	 346 	 180 
89 	 339 	 369 	 259 
90 	 328 	 361 	 289 
91 	 340 	 363 	 325 
92 	 337 	 364 	 311 
93 	 377 	 391 	 381 
94 	 345 	 371 	 370 
95 	 337 	 361 	 326 
96 	 348 	 374 	 191 
81 	 338 	 410 	 255 
82 	 331 	 402 	 299 
83 	 331 	 397 	 352 
84 	 350 	 423 	 356 
85 	 343 	 419 	 342 
86 	 340 	 404 	 362 
87 	 332 	 401 	 349 
88 	 354 	 440 	 359 
89 	 339 	 418 	 367 
90 	 328 	 407 	 329 
91 	 340 	 414 	 345 
92 	 337 	 414 	 327 
93 	 377 	 444 	 391 
94 	 345 	 418 	 381 
95 	 337 	 403 	 330 
96 	 348 	 413 	 200 
97 	 362 	 352 	 186 
98 	 334 	 328 	 167 
99 	 343 	 334 	 174 
100 	 340 	 323 	 146 
97 	 362 	 356 	 215 
98 	 334 	 334 	 264 
99 	 343 	 346 	 268 
100 	 340 	 338 	 170 
101 	 357 	 338 	 200 
102 	 326 	 320 	 147 
103 	 332 	 320 	 146 
104 	 335 	 320 	 129 
101 	 357 	 346 	 227 
102 	 326 	 327 	 229 
103 	 332 	 329 	 217 
104 	 335 	 330 	 153 
97 	 362 	 374 	 234 
98 	 334 	 351 	 281 
99 	 343 	 361 	 293 
100 	 340 	 353 	 268 
101 	 357 	 369 	 321 
102 	 326 	 346 	 255 
103 	 332 	 351 	 238 
104 	 335 	 353 	 172 
105 	 386 	 367 	 218 
106 	 343 	 328 	 149 
107 	 347 	 342 	 191 
108 	 354 	 334 	 132 
105 	 386 	 384 	 251 
106 	 343 	 341 	 256 
107 	 347 	 355 	 270 
108 	 354 	 345 	 162 
109 	 389 	 370 	 235 
110 	 383 	 366 	 133 
111 	 389 	 376 	 245 
112 	 413 	 387 	 181 
109 	 389 	 392 	 276 
110 	 383 	 393 	 318 
111 	 389 	 394 	 345 
112 	 413 	 403 	 202 
105 	 386 	 409 	 281 
106 	 343 	 363 	 280 
107 	 347 	 381 	 285 
108 	 354 	 380 	 314 
109 	 389 	 413 	 364 
110 	 383 	 413 	 343 
111 	 389 	 418 	 362 
112 	 413 	 430 	 225 
97 	 362 	 413 	 271 
98 	 334 	 390 	 292 
99 	 343 	 399 	 311 
100 	 340 	 392 	 289 
101 	 357 	 415 	 344 
102 	 326 	 391 	 285 
103 	 332 	 398 	 266 
104 	 335 	 401 	 282 
105 	 386 	 456 	 365 
106 	 343 	 405 	 303 
107 	 347 	 423 	 300 
108 	 354 	 424 	 325 
109 	 389 	 461 	 377 
110 	 383 	 455 	 369 
111 	 389 	 468 	 365 
112 	 413 	 482 	 240 
113 	 460 	 425 	 311 
114 	 450 	 407 	 200 
115 	 478 	 415 	 320 
116 	 570 	 507 	 215 
113 	 460 	 442 	 343 
114 	 450 	 436 	 413 
115 	 478 	 448 	 469 
116 	 570 	 563 	 258 
117 	 680 	 563 	 514 
118 	 695 	 722 	 301 
119 	 1064 	 964 	 647 
120 	 1058 	 1147 	 359 
117 	 680 	 572 	 545 
118 	 695 	 743 	 666 
119 	 1064 	 1176 	 878 
120 	 1058 	 1253 	 411 
113 	 460 	 451 	 359 
114 	 450 	 448 	 433 
115 	 478 	 467 	 490 
116 	 570 	 591 	 616 
117 	 680 	 741 	 703 
118 	 695 	 852 	 721 
119 	 1064 	 1259 	 903 
120 	 1058 	 1298 	 431 
121 	 792 	 717 	 568 
122 	 703 	 760 	 330 
123 	 692 	 582 	 478 
124 	 734 	 647 	 317 
121 	 792 	 736 	 608 
122 	 703 	 789 	 682 
123 	 692 	 830 	 688 
124 	 734 	 782 	 398 
125 	 771 	 585 	 496 
126 	 732 	 699 	 313 
127 	 716 	 602 	 455 
128 	 732 	 722 	 289 
125 	 771 	 611 	 544 
126 	 732 	 758 	 652 
127 	 716 	 779 	 646 
128 	 732 	 790 	 348 
121 	 792 	 748 	 646 
122 	 703 	 807 	 709 
123 	 692 	 858 	 734 
124 	 734 	 825 	 755 
125 	 771 	 811 	 729 
126 	 732 	 827 	 705 
127 	 716 	 802 	 670 
128 	 732 	 811 	 386 
113 	 460 	 452 	 368 
114 	 450 	 450 	 446 
115 	 478 	 469 	 508 
116 	 570 	 594 	 630 
117 	 680 	 744 	 734 
118 	 695 	 864 	 747 
119 	 1064 	 1282 	 953 
120 	 1058 	 1344 	 928 
121 	 792 	 1242 	 920 
122 	 703 	 1324 	 783 
123 	 692 	 1098 	 768 
124 	 734 	 961 	 780 
125 	 771 	 872 	 751 
126 	 732 	 888 	 725 
127 	 716 	 861 	 695 
128 	 732 	 869 	 430 
129 	 724 	 642 	 494 
130 	 727 	 678 	 324 
131 	 685 	 616 	 498 
132 	 679 	 621 	 305 
129 	 724 	 688 	 530 
130 	 727 	 720 	 709 
131 	 685 	 703 	 735 
132 	 679 	 722 	 362 
133 	 647 	 603 	 420 
134 	 711 	 652 	 299 
135 	 670 	 621 	 416 
136 	 681 	 629 	 281 
133 	 647 	 640 	 462 
134 	 711 	 678 	 678 
135 	 670 	 662 	 624 
136 	 681 	 666 	 330 
129 	 724 	 745 	 560 
130 	 727 	 799 	 738 
131 	 685 	 800 	 789 
132 	 679 	 819 	 695 
133 	 647 	 779 	 656 
134 	 711 	 812 	 724 
135 	 670 	 774 	 647 
136 	 681 	 753 	 357 
137 	 744 	 693 	 479 
138 	 784 	 745 	 297 
139 	 755 	 723 	 515 
140 	 765 	 739 	 360 
137 	 744 	 721 	 542 
138 	 784 	 785 	 685 
139 	 755 	 829 	 746 
140 	 765 	 817 	 422 
141 	 825 	 798 	 624 
142 	 891 	 888 	 364 
143 	 1021 	 1064 	 683 
144 	 1049 	 1017 	 440 
141 	 825 	 1050 	 669 
142 	 891 	 1090 	 873 
143 	 1021 	 1160 	 960 
144 	 1049 	 1055 	 523 
137 	 744 	 852 	 579 
138 	 784 	 941 	 724 
139 	 755 	 1004 	 804 
140 	 765 	 1089 	 822 
141 	 825 	 1166 	 922 
142 	 891 	 1165 	 926 
143 	 1021 	 1180 	 992 
144 	 1049 	 1068 	 564 
129 	 724 	 771 	 583 
130 	 727 	 829 	 764 
131 	 685 	 839 	 813 
132 	 679 	 879 	 716 
133 	 647 	 894 	 685 
134 	 711 	 941 	 760 
135 	 670 	 927 	 703 
136 	 681 	 930 	 678 
137 	 744 	 1002 	 800 
138 	 784 	 1085 	 777 
139 	 755 	 1114 	 829 
140 	 765 	 1180 	 842 
141 	 825 	 1261 	 944 
142 	 891 	 1265 	 945 
143 	 1021 	 1280 	 1010 
144 	 1049 	 1174 	 636 
145 	 942 	 952 	 716 
146 	 933 	 910 	 401 
147 	 880 	 870 	 606 
148 	 856 	 808 	 381 
145 	 942 	 1058 	 755 
146 	 933 	 1029 	 935 
147 	 880 	 953 	 865 
148 	 856 	 878 	 443 
149 	 868 	 855 	 657 
150 	 879 	 835 	 366 
151 	 867 	 844 	 598 
152 	 847 	 815 	 412 
149 	 868 	 949 	 711 
150 	 879 	 935 	 874 
151 	 867 	 890 	 876 
152 	 847 	 874 	 476 
145 	 942 	 1155 	 794 
146 	 933 	 1156 	 974 
147 	 880 	 1118 	 923 
148 	 856 	 1060 	 929 
149 	 868 	 1047 	 978 
150 	 879 	 1022 	 945 
151 	 867 	 960 	 917 
152 	 847 	 925 	 501 
153 	 872 	 835 	 673 
154 	 926 	 863 	 424 
155 	 847 	 790 	 581 
156 	 864 	 807 	 438 
153 	 872 	 920 	 716 
154 	 926 	 936 	 931 
155 	 847 	 841 	 847 
156 	 864 	 868 	 515 
157 	 858 	 806 	 573 
158 	 905 	 858 	 408 
159 	 842 	 788 	 546 
160 	 849 	 798 	 398 
157 	 858 	 856 	 627 
158 	 905 	 890 	 825 
159 	 842 	 826 	 761 
160 	 849 	 843 	 493 
153 	 872 	 985 	 760 
154 	 926 	 1026 	 974 
